GameID,Week,Day,Date,WinnerID,LoserID,WinnerScore,LoserScore,StadiumID,Time,Duration,Attendance,Temperature,Humidity,Wind,FavoredTeam,Spread,OverUnder,OUResult,URL
,5,Sun,2016-10-09,11,25,24,23,11,1:02pm,3:04,58047,,,,25,3.5,46,O,http://www.pro-football-reference.com/boxscores/201610090det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,5,Sun,2016-10-09,31,18,30,17,18,1:02pm,2:51,64425,88,53,15,18,2.5,44.5,O,http://www.pro-football-reference.com/boxscores/201610090mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,5,Sun,2016-10-09,26,23,31,13,25,1:02pm,3:00,66385,57,60,9,26,10,50,U,http://www.pro-football-reference.com/boxscores/201610090pit.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,5,Sun,2016-10-09,14,6,29,23,14,1:02pm,3:08,66622,,,,14,4,47.5,O,http://www.pro-football-reference.com/boxscores/201610090clt.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,5,Sun,2016-10-09,20,8,33,13,8,1:02pm,3:09,67431,58,58,13,20,10,47.5,U,http://www.pro-football-reference.com/boxscores/201610090cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,5,Sun,2016-10-09,32,3,16,10,3,1:03pm,3:08,71318,62,53,16,3,4,44.5,U,http://www.pro-football-reference.com/boxscores/201610090rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,5,Sun,2016-10-09,19,13,31,13,19,1:05pm,3:01,66683,,,,19,6,39,O,http://www.pro-football-reference.com/boxscores/201610090min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,5,Sun,2016-10-09,2,10,23,16,10,4:05pm,2:58,76802,72,18,5,10,3.5,44.5,U,http://www.pro-football-reference.com/boxscores/201610090den.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,5,Sun,2016-10-09,4,17,30,19,17,4:25pm,3:01,83679,91,18,5,4,2.5,41.5,O,http://www.pro-football-reference.com/boxscores/201610090ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,5,Sun,2016-10-09,9,7,28,14,9,4:25pm,2:47,91653,,,,7,2.5,46,U,http://www.pro-football-reference.com/boxscores/201610090dal.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,5,Sun,2016-10-09,24,27,34,31,23,4:25pm,3:15,54275,75,39,7,24,3.5,50.5,O,http://www.pro-football-reference.com/boxscores/201610090rai.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,5,Sun,2016-10-09,12,22,23,16,12,8:30pm,3:15,78401,49,0,7,12,7,49,U,http://www.pro-football-reference.com/boxscores/201610090gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,5,Mon,2016-10-10,30,5,17,14,5,8:04pm,3:23,73425,66,35,7,5,6,46.5,U,http://www.pro-football-reference.com/boxscores/201610100car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,6,Thu,2016-10-13,27,10,21,13,26,8:25pm,3:18,58904,70,63,9,10,3,44,U,http://www.pro-football-reference.com/boxscores/201610130sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,6,Sun,2016-10-16,32,25,27,20,31,1:00pm,3:09,78934,69,62,13,25,3,45,O,http://www.pro-football-reference.com/boxscores/201610160was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,6,Sun,2016-10-16,22,3,27,23,22,1:00pm,3:22,78487,66,65,6,22,3.5,42.5,O,http://www.pro-football-reference.com/boxscores/201610160nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,6,Sun,2016-10-16,4,28,45,16,4,1:00pm,3:14,70003,72,61,22,4,7.5,44,O,http://www.pro-football-reference.com/boxscores/201610160buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,6,Sun,2016-10-16,11,17,31,28,11,1:00pm,3:04,56018,,,,11,2.5,44,O,http://www.pro-football-reference.com/boxscores/201610160det.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,6,Sun,2016-10-16,18,26,30,15,18,1:00pm,3:07,65351,81,79,15,26,7.5,49.5,U,http://www.pro-football-reference.com/boxscores/201610160mia.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,6,Sun,2016-10-16,20,7,35,17,20,1:00pm,3:03,66829,66,54,14,20,7.5,48,O,http://www.pro-football-reference.com/boxscores/201610160nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,6,Sun,2016-10-16,15,6,17,16,6,1:00pm,3:02,61054,69,93,7,6,2.5,46,U,http://www.pro-football-reference.com/boxscores/201610160chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,6,Sun,2016-10-16,21,5,41,38,21,1:00pm,3:42,73138,,,,5,2.5,53.5,O,http://www.pro-football-reference.com/boxscores/201610160nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,6,Sun,2016-10-16,31,8,28,26,30,1:00pm,3:12,60897,75,70,10,31,7.5,44.5,O,http://www.pro-football-reference.com/boxscores/201610160oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,6,Sun,2016-10-16,16,24,26,10,23,4:05pm,2:46,54211,61,100,6,16,1,46.5,U,http://www.pro-football-reference.com/boxscores/201610160rai.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,6,Sun,2016-10-16,9,12,30,16,12,4:25pm,3:09,70481,69,63,8,12,5,47,U,http://www.pro-football-reference.com/boxscores/201610160gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,6,Sun,2016-10-16,29,2,26,24,28,4:25pm,3:14,69071,54,83,10,29,7,45.5,O,http://www.pro-football-reference.com/boxscores/201610160sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,6,Sun,2016-10-16,13,14,26,23,13,8:30pm,3:35,71891,,,,13,3,47.5,O,http://www.pro-football-reference.com/boxscores/201610160htx.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
,6,Mon,2016-10-17,1,23,28,3,1,7:30pm,3:05,64709,,,,1,7,45.5,U,http://www.pro-football-reference.com/boxscores/201610170crd.htm
