TeamID,GameID,1stDowns,RushAtt,RushYDs,RushTDs,PassComp,PassAtt,PassYDs,PassTDs,Ints,Sacked,SackedYDs,NetPassYDs,TotalYDs,Fumbles,FumblesLost,Turnovers,Penalties,PenaltyYDs,3rdM,3rdAtt,4thM,4thAtt,TOP,Q1,Q2,Q3,Q4,OT,URL
PIT,,15,18,36,1,23,45,264,1,1,2,23,241,277,2,0,1,13,99,4,16,1,2,27:50,0,0,0,14,,http://www.pro-football-reference.com/boxscores/201611060rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
BAL,,13,29,50,0,19,31,250,1,1,3,26,224,274,2,0,1,10,94,4,17,0,0,32:10,7,3,3,8,,http://www.pro-football-reference.com/boxscores/201611060rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
DAL,,29,42,168,2,22,28,255,3,0,0,0,255,423,1,0,0,4,38,8,12,2,2,39:39,7,14,14,0,,http://www.pro-football-reference.com/boxscores/201611060cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
CLE,,13,13,45,0,19,27,203,1,0,4,26,177,222,0,0,0,5,33,1,9,1,1,20:21,3,7,0,0,,http://www.pro-football-reference.com/boxscores/201611060cle.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
DET,,18,25,97,0,23,36,219,2,1,1,5,214,311,0,0,1,6,57,7,14,0,0,33:31,3,7,0,6,22,http://www.pro-football-reference.com/boxscores/201611060min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
MIN,,22,25,78,1,31,40,273,1,0,2,14,259,337,0,0,0,8,54,6,14,1,2,33:08,0,3,6,7,16,http://www.pro-football-reference.com/boxscores/201611060min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
CAR,,16,25,59,0,20,32,225,1,0,5,40,185,244,0,0,0,5,35,6,15,0,0,34:12,7,0,0,6,,http://www.pro-football-reference.com/boxscores/201611060ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
LAR,,18,17,59,0,27,46,296,1,1,4,16,280,339,1,0,1,10,109,4,14,2,3,25:48,0,0,0,10,,http://www.pro-football-reference.com/boxscores/201611060ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
NOR,,29,42,248,2,28,39,323,3,0,1,0,323,571,0,0,0,4,40,11,17,0,0,38:53,14,17,0,10,,http://www.pro-football-reference.com/boxscores/201611060sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
SFO,,19,17,93,0,24,39,398,2,1,1,5,393,486,3,3,4,9,78,2,9,0,2,21:07,3,17,3,0,,http://www.pro-football-reference.com/boxscores/201611060sfo.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
IND,,22,28,85,2,23,36,281,1,2,2,11,270,355,1,0,2,4,35,7,14,0,0,30:03,14,10,0,7,,http://www.pro-football-reference.com/boxscores/201611060gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
GNB,,25,19,116,0,26,43,297,3,1,3,8,289,405,0,0,1,4,25,4,12,0,0,29:57,10,0,3,13,,http://www.pro-football-reference.com/boxscores/201611060gnb.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
TEN,,24,19,80,2,27,43,313,3,2,0,0,313,393,1,1,3,8,57,5,11,1,1,23:31,0,14,7,14,,http://www.pro-football-reference.com/boxscores/201611060sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
SDG,,31,39,208,1,24,33,275,2,0,1,7,268,476,0,0,0,14,107,5,11,0,0,36:29,9,10,14,10,,http://www.pro-football-reference.com/boxscores/201611060sdg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
DEN,,13,12,33,0,18,37,283,2,1,2,17,266,299,1,1,2,12,104,3,11,0,1,18:32,0,10,0,10,,http://www.pro-football-reference.com/boxscores/201611060rai.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
OAK,,30,43,218,3,20,31,184,0,0,2,5,179,397,0,0,0,8,72,5,14,0,0,41:28,6,14,0,10,,http://www.pro-football-reference.com/boxscores/201611060rai.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
BUF,,30,38,162,2,27,39,289,1,1,5,26,263,425,0,0,1,11,115,12,17,0,1,40:17,14,3,0,8,,http://www.pro-football-reference.com/boxscores/201611070sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
SEA,,19,12,33,2,20,26,282,2,0,4,37,245,278,0,0,0,10,75,2,7,0,0,19:43,7,21,0,3,,http://www.pro-football-reference.com/boxscores/201611070sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
CLE,,11,13,33,0,17,31,150,1,2,4,39,111,144,2,1,3,3,35,2,10,0,0,21:24,0,7,0,0,,http://www.pro-football-reference.com/boxscores/201611100rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
BAL,,29,34,119,0,30,41,296,3,2,2,19,277,396,0,0,2,6,61,7,12,0,0,38:36,0,6,15,7,,http://www.pro-football-reference.com/boxscores/201611100rav.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
CHI,,15,20,122,0,16,30,182,1,2,4,21,161,283,3,2,4,9,74,2,11,0,0,22:51,3,7,0,0,,http://www.pro-football-reference.com/boxscores/201611130tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
TAM,,22,31,80,1,23,33,312,2,1,4,32,280,360,0,0,1,9,85,8,15,0,0,37:09,7,10,12,7,,http://www.pro-football-reference.com/boxscores/201611130tam.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
GNB,,21,13,69,1,32,55,379,2,2,5,46,333,402,1,1,3,12,107,4,15,2,4,30:29,0,16,9,0,,http://www.pro-football-reference.com/boxscores/201611130oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
TEN,,19,31,154,1,20,27,305,5,0,1,13,292,446,0,0,0,7,65,7,14,0,1,29:31,21,14,6,6,,http://www.pro-football-reference.com/boxscores/201611130oti.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
KAN,,18,20,91,0,25,38,178,0,1,3,13,165,256,2,0,1,9,45,2,12,1,1,24:48,0,3,0,17,,http://www.pro-football-reference.com/boxscores/201611130car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
CAR,,22,29,99,1,23,38,261,1,1,2,19,242,341,1,1,2,6,53,6,14,1,1,35:12,3,14,0,0,,http://www.pro-football-reference.com/boxscores/201611130car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
HOU,,16,33,181,0,14,27,99,2,0,1,7,92,273,0,0,0,4,89,7,15,0,1,27:50,14,0,7,3,,http://www.pro-football-reference.com/boxscores/201611130jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
JAX,,23,22,80,0,32,49,265,2,1,2,18,247,327,3,1,2,4,48,10,17,0,1,32:10,7,3,0,11,,http://www.pro-football-reference.com/boxscores/201611130jax.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
MIN,,22,21,47,1,31,40,307,2,1,3,23,284,331,0,0,1,4,35,5,11,0,1,30:04,0,20,0,0,,http://www.pro-football-reference.com/boxscores/201611130was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
WAS,,23,28,128,0,22,33,262,2,0,1,2,260,388,1,1,1,4,35,6,12,0,0,29:56,7,7,6,6,,http://www.pro-football-reference.com/boxscores/201611130was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
DEN,,24,37,103,0,25,40,258,2,2,6,24,234,337,0,0,2,1,10,11,19,0,0,39:22,7,3,0,15,,http://www.pro-football-reference.com/boxscores/201611130nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
NOR,,19,21,80,0,21,29,303,3,2,1,10,293,373,2,2,4,3,25,4,9,0,0,20:38,0,3,14,6,,http://www.pro-football-reference.com/boxscores/201611130nor.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
LAR,,16,34,125,0,17,30,165,0,0,3,10,155,280,1,0,0,7,55,6,17,0,0,34:29,3,0,3,3,,http://www.pro-football-reference.com/boxscores/201611130nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
NYJ,,17,25,139,0,19,32,163,1,1,1,6,157,296,1,0,1,4,31,4,12,0,0,25:31,0,6,0,0,,http://www.pro-football-reference.com/boxscores/201611130nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
ATL,,11,13,48,0,18,33,267,1,1,2,12,255,303,0,0,1,8,67,2,11,0,1,21:50,0,6,3,6,,http://www.pro-football-reference.com/boxscores/201611130phi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
