Team,1st Downs,RushAtt,RushYDs,RushTDs,PassComp,PassAtt,PassYds,PassTDs,INT,Sacked,SackedYDs,NetPassYDs,TotalYDs,Fumbles,FumblesLost,TotalTurnovers,Penalties,PenaltyYDs,3rdMade,3rdAtt,4thMade,4thAtt,TOP,Q1pts,Q2pts,Q3pts,Q4pts,OTpts,URL
CAR,33,34,175,1,28,41,331,5,1,1,9,322,497,2,2,3,8,87,3,8,2,2,36:34:00,0,13,14,14,null,http://www.pro-football-reference.com/boxscores/201512060nor.htm
NOR,21,14,70,1,24,42,282,3,1,2,18,264,334,1,0,1,11,104,3,10,0,1,23:26,14,2,8,14,null,http://www.pro-football-reference.com/boxscores/201512060nor.htm
CAR,28,29,171,0,25,45,340,5,0,3,31,309,480,1,1,1,7,88,9,17,0,0,30:52:00,7,14,14,3,null,http://www.pro-football-reference.com/boxscores/201512200nyg.htm
NYG,21,27,161,1,29,46,245,4,1,0,0,245,406,2,1,2,7,47,6,15,2,2,29:08:00,7,0,7,21,null,http://www.pro-football-reference.com/boxscores/201512200nyg.htm
CAR,25,33,135,3,20,36,269,1,2,3,21,248,383,0,0,2,5,25,4,11,0,1,32:12:00,0,7,7,13,null,http://www.pro-football-reference.com/boxscores/201510180sea.htm
SEA,14,26,115,1,18,30,241,1,0,4,22,219,334,0,0,0,7,48,4,14,0,0,27:48:00,3,7,10,3,null,http://www.pro-football-reference.com/boxscores/201510180sea.htm
CAR,17,33,133,0,11,22,124,2,0,2,13,111,244,2,1,1,5,45,3,11,0,0,27:50:00,10,7,14,6,null,http://www.pro-football-reference.com/boxscores/201510040tam.htm
TAM,25,30,141,1,26,43,287,2,4,2,17,270,411,1,1,5,5,48,8,16,2,2,32:10:00,3,7,7,6,null,http://www.pro-football-reference.com/boxscores/201510040tam.htm
CAR,24,34,119,2,21,26,217,1,0,5,33,184,303,0,0,0,5,45,7,13,0,0,35:55:00,7,7,3,10,null,http://www.pro-football-reference.com/boxscores/201511150oti.htm
TEN,11,21,64,1,16,24,185,0,1,1,7,178,242,3,1,2,4,30,5,12,0,0,24:05:00,7,3,0,0,null,http://www.pro-football-reference.com/boxscores/201511150oti.htm
CHI,24,31,91,2,26,41,353,1,1,1,0,353,444,1,0,1,9,76,6,14,0,0,33:34:00,3,10,3,18,0,http://www.pro-football-reference.com/boxscores/201510180det.htm
DET,26,32,155,0,27,42,405,4,1,2,14,391,546,3,2,3,10,98,9,17,1,1,38:57:00,7,14,3,10,3,http://www.pro-football-reference.com/boxscores/201510180det.htm
CHI,17,31,101,1,19,31,200,1,0,1,11,189,290,2,0,0,12,95,5,14,0,0,31:12:00,0,14,0,3,null,http://www.pro-football-reference.com/boxscores/201511260gnb.htm
GNB,23,28,177,0,22,43,202,1,1,2,14,188,365,3,1,2,3,38,3,11,0,2,28:48:00,7,6,0,0,null,http://www.pro-football-reference.com/boxscores/201511260gnb.htm
CHI,21,26,87,0,26,45,252,2,0,2,11,241,328,2,1,1,6,49,6,14,0,1,33:37:00,3,0,3,12,null,http://www.pro-football-reference.com/boxscores/201510110kan.htm
KAN,16,25,117,0,16,30,181,1,0,3,11,170,287,0,0,0,3,49,5,14,0,0,26:23:00,7,10,0,0,null,http://www.pro-football-reference.com/boxscores/201510110kan.htm
CHI,21,20,94,0,26,37,231,2,1,5,32,199,293,1,1,2,6,39,5,12,1,1,27:50:00,0,7,3,7,null,http://www.pro-football-reference.com/boxscores/201512200min.htm
MIN,20,36,129,1,17,20,231,4,0,1,10,221,350,1,0,0,4,45,8,12,0,0,32:10:00,7,10,7,14,null,http://www.pro-football-reference.com/boxscores/201512200min.htm
CHI,25,29,109,1,27,40,345,2,1,1,8,337,446,1,1,2,6,55,9,15,0,0,33:35:00,0,7,0,15,null,http://www.pro-football-reference.com/boxscores/201511090sdg.htm
SDG,19,19,77,0,26,42,280,1,0,2,18,262,339,1,1,1,8,54,7,13,0,1,26:25:00,7,9,0,3,null,http://www.pro-football-reference.com/boxscores/201511090sdg.htm
CHI,7,27,98,0,9,17,63,0,0,2,15,48,146,0,0,0,6,40,3,13,0,0,27:24:00,0,0,0,0,null,http://www.pro-football-reference.com/boxscores/201509270sea.htm
SEA,17,29,159,0,20,30,235,1,0,4,23,212,371,0,0,0,5,41,5,16,2,2,32:36:00,3,3,14,6,null,http://www.pro-football-reference.com/boxscores/201509270sea.htm
CHI,17,37,153,1,19,24,258,3,0,2,14,244,397,2,2,2,4,44,3,12,1,1,34:22:00,10,14,0,13,null,http://www.pro-football-reference.com/boxscores/201511150ram.htm
STL,12,21,94,1,17,37,200,0,1,1,9,191,285,1,1,2,8,57,4,14,0,2,25:38:00,10,0,3,0,null,http://www.pro-football-reference.com/boxscores/201511150ram.htm
CHI,21,39,174,1,20,27,156,1,0,1,3,153,327,0,0,0,3,25,6,15,0,0,37:03:00,0,13,0,13,null,http://www.pro-football-reference.com/boxscores/201512270tam.htm
TAM,19,25,104,1,15,29,295,2,1,1,10,285,389,5,2,3,4,47,2,8,0,0,22:57,7,0,7,7,null,http://www.pro-football-reference.com/boxscores/201512270tam.htm
CIN,24,28,99,2,22,39,315,2,0,4,37,278,377,3,1,1,10,108,5,13,1,1,31:15:00,7,7,0,17,null,http://www.pro-football-reference.com/boxscores/201511220crd.htm
ARI,21,25,82,0,20,31,317,4,2,2,16,301,383,2,0,2,7,40,5,11,0,0,28:45:00,0,7,21,6,null,http://www.pro-football-reference.com/boxscores/201511220crd.htm
CIN,23,31,86,1,20,32,383,3,1,2,11,372,458,1,1,2,9,67,8,15,1,2,30:08:00,7,7,0,14,null,http://www.pro-football-reference.com/boxscores/201509270rav.htm
BAL,19,18,36,0,32,49,362,2,1,0,0,362,398,1,0,1,13,116,7,16,2,3,29:52:00,0,0,7,17,null,http://www.pro-football-reference.com/boxscores/201509270rav.htm
CIN,21,28,112,1,22,33,243,3,0,0,0,243,355,1,0,0,3,20,7,12,0,0,30:00:00,7,10,14,3,null,http://www.pro-football-reference.com/boxscores/201510180buf.htm
BUF,22,23,112,2,28,42,263,1,1,2,7,256,368,0,0,1,8,93,5,13,1,2,30:00:00,7,7,0,7,null,http://www.pro-football-reference.com/boxscores/201510180buf.htm
CIN,20,33,144,2,16,22,239,2,0,1,6,233,377,0,0,0,5,55,5,12,2,3,30:58:00,7,13,14,3,null,http://www.pro-football-reference.com/boxscores/201512060cle.htm
