Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng,
Cole Beasley,DAL,0,0,,0,0,3,3,1.0,0,3,http://www.pro-football-reference.com/boxscores/201612110nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Lance Dunbar,DAL,1,16,16.0,0,16,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612110nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Alfred Morris,DAL,1,12,12.0,0,12,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612110nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Odell Beckham,NYG,0,0,,0,0,4,22,5.5,0,12,http://www.pro-football-reference.com/boxscores/201612110nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dwayne Harris,NYG,0,0,,0,0,1,4,4.0,0,4,http://www.pro-football-reference.com/boxscores/201612110nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Bobby Rainey,NYG,2,40,20.0,0,20,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612110nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Devin Hester,BAL,2,40,20.0,0,23,1,12,12.0,0,12,http://www.pro-football-reference.com/boxscores/201612120nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Patrick Chung,NWE,0,0,,0,0,1,7,7.0,0,7,http://www.pro-football-reference.com/boxscores/201612120nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Cyrus Jones,NWE,0,0,,0,0,1,0,0.0,0,0,http://www.pro-football-reference.com/boxscores/201612120nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
James White,NWE,1,18,18.0,0,18,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612120nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Matt Slater,NWE,1,19,19.0,0,19,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612120nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Julian Edelman,NWE,1,19,19.0,0,19,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612120nwe.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Pharoh Cooper,LAR,5,98,19.6,0,24,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612150sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tyler Lockett,SEA,2,48,24.0,0,27,2,16,8.0,0,13,http://www.pro-football-reference.com/boxscores/201612150sea.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jakeem Grant,MIA,2,20,10.0,0,13,2,17,8.5,0,10,http://www.pro-football-reference.com/boxscores/201612170nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
MarQueis Gray,MIA,1,11,11.0,0,11,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612170nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Kenyan Drake,MIA,1,21,21.0,0,21,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612170nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Nick Marshall,NYJ,4,87,21.8,0,28,2,32,16.0,0,27,http://www.pro-football-reference.com/boxscores/201612170nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Darryl Roberts,NYJ,0,0,,0,0,1,0,0.0,0,0,http://www.pro-football-reference.com/boxscores/201612170nyj.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Antonio Brown,PIT,0,0,,0,0,1,5,5.0,0,5,http://www.pro-football-reference.com/boxscores/201612180cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Fitzgerald Toussaint,PIT,2,32,16.0,0,20,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612180cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Sammie Coates,PIT,1,44,44.0,0,44,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612180cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Alex Erickson,CIN,5,166,33.2,0,72,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612180cin.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chester Rogers,IND,0,0,,0,0,1,30,30.0,0,30,http://www.pro-football-reference.com/boxscores/201612180min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jordan Todman,IND,2,37,18.5,0,26,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612180min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Cordarrelle Patterson,MIN,4,124,31.0,0,40,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612180min.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Mario Alford,CLE,4,74,18.5,0,24,2,23,11.5,0,12,http://www.pro-football-reference.com/boxscores/201612180buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Seth Devalve,CLE,1,13,13.0,0,13,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612180buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brandon Tate,BUF,3,62,20.7,0,24,4,46,11.5,0,29,http://www.pro-football-reference.com/boxscores/201612180buf.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Andre Roberts,DET,2,32,16.0,0,20,4,11,2.8,0,6,http://www.pro-football-reference.com/boxscores/201612180nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dwayne Harris,NYG,1,23,23.0,0,23,2,19,9.5,0,11,http://www.pro-football-reference.com/boxscores/201612180nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Odell Beckham,NYG,0,0,,0,0,2,9,4.5,0,5,http://www.pro-football-reference.com/boxscores/201612180nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Marc Mariani,TEN,3,63,21.0,0,25,2,22,11.0,0,16,http://www.pro-football-reference.com/boxscores/201612180kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tyreek Hill,KAN,0,0,,0,0,3,3,1.0,0,3,http://www.pro-football-reference.com/boxscores/201612180kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
De'Anthony Thomas,KAN,1,9,9.0,0,9,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612180kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Albert Wilson,KAN,1,13,13.0,0,13,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612180kan.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Micah Hyde,GNB,0,0,,0,0,1,2,2.0,0,2,http://www.pro-football-reference.com/boxscores/201612180chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Ty Montgomery,GNB,4,57,14.3,0,17,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612180chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jeff Janis,GNB,1,21,21.0,0,21,0,0,,0,0,http://www.pro-football-reference.com/boxscores/201612180chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Cre'von LeBlanc,CHI,0,0,,0,0,2,17,8.5,0,9,http://www.pro-football-reference.com/boxscores/201612180chi.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
