Player,Tm,XPM,XPA,FGM,FGA,Pnt,Yds,Y/P,Lng,
Dan Bailey,DAL,3,3,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201609180was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chris Jones,DAL,,,,,3,142,47.3,56,http://www.pro-football-reference.com/boxscores/201609180was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Dustin Hopkins,WAS,2,2,3,3,0,0,,0,http://www.pro-football-reference.com/boxscores/201609180was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Tress Way,WAS,,,,,2,75,37.5,43,http://www.pro-football-reference.com/boxscores/201609180was.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Wil Lutz,NOR,1,1,2,3,0,0,,0,http://www.pro-football-reference.com/boxscores/201609180nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Thomas Morstead,NOR,,,,,7,383,54.7,66,http://www.pro-football-reference.com/boxscores/201609180nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Josh Brown,NYG,1,1,3,4,0,0,,0,http://www.pro-football-reference.com/boxscores/201609180nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Brad Wing,NYG,,,,,2,116,58.0,63,http://www.pro-football-reference.com/boxscores/201609180nyg.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Phil Dawson,SFO,3,3,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201609180car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Bradley Pinion,SFO,,,,,7,318,45.4,55,http://www.pro-football-reference.com/boxscores/201609180car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Graham Gano,CAR,4,5,4,4,0,0,,0,http://www.pro-football-reference.com/boxscores/201609180car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Andy Lee,CAR,,,,,3,123,41.0,49,http://www.pro-football-reference.com/boxscores/201609180car.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Roberto Aguayo,TAM,1,1,,1,0,0,,0,http://www.pro-football-reference.com/boxscores/201609180crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Bryan Anger,TAM,,,,,6,282,47.0,59,http://www.pro-football-reference.com/boxscores/201609180crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Chandler Catanzaro,ARI,4,5,2,2,0,0,,0,http://www.pro-football-reference.com/boxscores/201609180crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Drew Butler,ARI,,,,,6,279,46.5,50,http://www.pro-football-reference.com/boxscores/201609180crd.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
Jon Ryan,SEA,,,,,7,309,44.1,51,http://www.pro-football-reference.com/boxscores/201609180ram.htm?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool
